status,course,gender,marital_status,attendance,scholarship_holder,tuition_up_to_date,debtor,displaced,international,age_at_enrollment,age_group,admission_grade,prev_qualification_grade,units_1st_sem_enrolled,units_1st_sem_approved,grade_1st_sem,units_2nd_sem_enrolled,units_2nd_sem_approved,grade_2nd_sem,approval_ratio_2nd_sem,is_dropout,dropout_risk_score
Dropout,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,127.3,122.0,0,0,0.0,0,0,0.0,,1,0.633
Graduate,Tourism,Male,Single,Daytime,No,No,No,Yes,No,19,17-20,142.5,160.0,6,6,14.0,6,6,13.666666666666666,1.0,0,0.572
Dropout,Communication Design,Male,Single,Daytime,No,No,No,Yes,No,19,17-20,124.8,122.0,6,0,0.0,6,0,0.0,0.0,1,1.0
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,119.6,122.0,6,6,13.428571428571429,6,5,12.4,0.833,0,0.141
Graduate,Social Service (evening),Female,Married,Evening,No,Yes,No,No,No,45,40+,141.5,100.0,6,5,12.333333333333334,6,6,13.0,1.0,0,0.103
Graduate,Management (evening),Male,Married,Evening,No,Yes,Yes,No,No,50,40+,114.8,133.1,5,5,11.857142857142858,5,5,11.5,1.0,0,0.322
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,128.4,142.0,7,7,13.3,8,8,14.345,1.0,0,0.009
Dropout,Tourism,Male,Single,Daytime,No,No,No,Yes,No,22,21-24,113.1,119.0,5,0,0.0,5,0,0.0,0.0,1,1.0
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,No,Yes,21,21-24,129.3,137.0,6,6,13.875,6,6,14.142857142857142,1.0,0,0.025
Dropout,Social Service,Female,Single,Daytime,No,No,Yes,Yes,No,18,17-20,123.0,138.0,6,5,11.4,6,2,13.5,0.333,1,0.991
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,130.6,139.0,6,6,12.333333333333334,6,5,14.2,0.833,0,0.135
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,119.3,136.0,8,7,13.214285714285714,8,7,13.214285714285714,0.875,0,0.028
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,130.2,133.0,6,0,0.0,6,0,0.0,0.0,1,0.998
Graduate,Tourism,Female,Single,Daytime,Yes,Yes,No,Yes,No,21,21-24,111.8,110.0,6,6,10.571428571428571,6,5,11.0,0.833,0,0.046
Graduate,Veterinary Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,137.1,149.0,5,4,13.25,5,5,12.0,1.0,0,0.087
Dropout,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,120.7,127.0,6,5,13.2,6,0,0.0,0.0,1,0.99
Enrolled,Social Service,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,137.4,137.0,6,1,12.0,6,2,11.0,0.333,0,0.982
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,127.3,135.0,7,7,13.30625,8,8,14.545,1.0,0,0.029
Graduate,Equinculture,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,136.3,137.0,5,4,12.5,5,4,12.25,0.8,0,0.192
Enrolled,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,124.6,140.0,7,6,11.666666666666666,7,6,13.5,0.857,0,0.146
Graduate,Animation & Multimedia Design,Female,Single,Daytime,Yes,Yes,No,No,No,21,21-24,120.3,122.0,0,0,0.0,0,0,0.0,,0,0.25
Enrolled,Oral Hygiene,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,121.8,127.0,7,7,11.4375,8,8,11.425,1.0,0,0.031
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,125.5,142.0,8,7,12.857142857142858,8,7,12.857142857142858,0.875,0,0.093
Graduate,Advertising & Marketing,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,114.9,125.0,6,6,13.375,6,6,12.285714285714286,1.0,0,0.033
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,123.9,126.0,7,6,13.296666666666669,8,7,14.114285714285714,0.875,0,0.067
Enrolled,Social Service,Female,Single,Daytime,Yes,Yes,Yes,Yes,No,18,17-20,157.0,151.0,6,5,11.6,6,4,11.0,0.667,0,0.414
